task_id,seed,complexity,evidence,difficulty_label,material,test_input,expected,item_desc
0,0,simple,few,simple_few,"  laisnautun = ""cloud""
  flesoudglaush = ""purple""
  staidrospot = ""growing""
  fleibloint = ""rope""",fleibloint,rope,simple 1:1 mapping
1,1,simple,few,simple_few,"  jouhip = ""orange""
  sudaush = ""yellow""
  bloizis = ""rope""
  brohin = ""drum""",bloizis,rope,simple 1:1 mapping
2,2,simple,few,simple_few,"  twufroswaung = ""blue""
  cloifint = ""anchor""
  zobet = ""running""
  grousleint = ""breaking""",zobet,running,simple 1:1 mapping
3,0,simple,mid,simple_mid,"  zaitraubleimp = ""feather""
  goupajil = ""hammer""
  brauffsneik = ""falling""
  soraucloux = ""basket""
  moufox = ""blue""
  blowoff = ""crystal""
  kigesel = ""melting""
  twawedglaimp = ""candle""",kigesel,melting,simple 1:1 mapping
4,1,simple,mid,simple_mid,"  deingnashflut = ""pebble""
  dravoup = ""breaking""
  braibluplall = ""running""
  lougloish = ""purple""
  grislaugret = ""floating""
  jeimjeirnsnaup = ""apple""
  trejaint = ""green""
  rauskauk = ""melting""",jeimjeirnsnaup,apple,simple 1:1 mapping
5,2,simple,mid,simple_mid,"  bedoclint = ""lantern""
  koukuk = ""crystal""
  twoiblesim = ""blue""
  kistauk = ""hammer""
  spousaing = ""falling""
  padreimp = ""breaking""
  rewrauweis = ""anchor""
  claurouk = ""candle""",padreimp,breaking,simple 1:1 mapping
6,0,simple,many,simple_many,"  spaiprointwrump = ""growing""
  glubrucluff = ""blue""
  claskoflem = ""basket""
  tistoshskimp = ""red""
  hoixplak = ""arrow""
  croitroix = ""apple""
  wrogoidas = ""purple""
  saurnkaugoing = ""spinning""
  saufounairn = ""breaking""
  tiston = ""feather""
  mijoustoub = ""green""
  clagril = ""rope""",saurnkaugoing,spinning,simple 1:1 mapping
7,1,simple,many,simple_many,"  bouvousoff = ""basket""
  skoslillgrint = ""green""
  snoivoil = ""arrow""
  tapiteib = ""apple""
  swehout = ""cloud""
  bleibmeix = ""river""
  roipex = ""feather""
  blebplep = ""falling""
  sluslanois = ""wheel""
  deiseill = ""drum""
  gridroidlirn = ""purple""
  swuskeix = ""rope""",roipex,feather,simple 1:1 mapping
8,2,simple,many,simple_many,"  swourun = ""breaking""
  glaixsleix = ""feather""
  frablis = ""apple""
  globleseish = ""candle""
  jaufaistaung = ""green""
  foshnocrois = ""crystal""
  groukskaimout = ""growing""
  twintwril = ""river""
  poiflaunkash = ""mirror""
  haternclaub = ""wheel""
  rospouskex = ""golden""
  relblam = ""yellow""",twintwril,river,simple 1:1 mapping
9,0,compound,few,compound_few,"  fredoufeish = ""enormous green""
  woutun = ""tiny silver""
  kampreiwroung = ""tall purple""
  sipswaut = ""thin blue""",kampreiwroung,tall purple,compound (size+color)
