task_id,material,test_input,expected,complexity,evidence,difficulty_label,seed,item_desc,stale_step
0,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. act(s1.item_D)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_A)  # OK
7. act(s2.item_G)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_G)  # OK
3. act(s1.item_E)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_F)  # OK
7. act(s2.item_B)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_G)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_F)  # OK
6. act(s2.item_C)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_D)
3. act(s1.item_C)
4. mutate()
5. act(s1.item_E)","1. s1 = snapshot()
2. act(s1.item_D)
3. act(s1.item_C)
4. mutate()
5. s2 = snapshot()  # re-snapshot after mutation
6. act(s2.item_E)",single_mutation,few,single_mutation_few,0,"complexity=single_mutation, evidence=few(3ex), seed=0, stale_step=5, len=5",5
1,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. act(s1.item_A)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_C)  # OK
7. act(s2.item_D)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_B)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_G)  # OK
3. act(s1.item_D)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_A)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_A)
3. mutate()
4. act(s1.item_E)","1. s1 = snapshot()
2. act(s1.item_A)
3. mutate()
4. s2 = snapshot()  # re-snapshot after mutation
5. act(s2.item_E)",single_mutation,few,single_mutation_few,1,"complexity=single_mutation, evidence=few(3ex), seed=1, stale_step=4, len=4",4
2,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_D)  # OK
3. act(s1.item_B)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_A)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_E)  # OK
3. act(s1.item_D)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_C)  # OK
7. act(s2.item_A)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_B)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_G)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_E)
3. act(s1.item_A)
4. mutate()
5. act(s1.item_C)","1. s1 = snapshot()
2. act(s1.item_E)
3. act(s1.item_A)
4. mutate()
5. s2 = snapshot()  # re-snapshot after mutation
6. act(s2.item_C)",single_mutation,few,single_mutation_few,2,"complexity=single_mutation, evidence=few(3ex), seed=2, stale_step=5, len=5",5
3,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_G)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_A)  # OK
6. act(s2.item_E)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_A)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_C)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. act(s1.item_B)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_E)  # OK
7. act(s2.item_G)  # OK

Worked Example 4:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. act(s1.item_E)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_B)  # OK
7. act(s2.item_C)  # OK

Worked Example 5:
1. s1 = snapshot()  # captures current state
2. act(s1.item_E)  # OK
3. act(s1.item_A)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_B)  # OK
7. act(s2.item_G)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_G)
3. mutate()
4. act(s1.item_B)","1. s1 = snapshot()
2. act(s1.item_G)
3. mutate()
4. s2 = snapshot()  # re-snapshot after mutation
5. act(s2.item_B)",single_mutation,mid,single_mutation_mid,0,"complexity=single_mutation, evidence=mid(5ex), seed=0, stale_step=4, len=4",4
4,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_G)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_E)  # OK
6. act(s2.item_D)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_E)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_C)  # OK
6. act(s2.item_A)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_E)  # OK
3. act(s1.item_C)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_F)  # OK

Worked Example 4:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_E)  # OK

Worked Example 5:
1. s1 = snapshot()  # captures current state
2. act(s1.item_G)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_E)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_B)
3. act(s1.item_F)
4. mutate()
5. act(s1.item_C)","1. s1 = snapshot()
2. act(s1.item_B)
3. act(s1.item_F)
4. mutate()
5. s2 = snapshot()  # re-snapshot after mutation
6. act(s2.item_C)",single_mutation,mid,single_mutation_mid,1,"complexity=single_mutation, evidence=mid(5ex), seed=1, stale_step=5, len=5",5
5,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_G)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_D)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_C)  # OK
6. act(s2.item_E)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_B)  # OK

Worked Example 4:
1. s1 = snapshot()  # captures current state
2. act(s1.item_D)  # OK
3. act(s1.item_B)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_C)  # OK

Worked Example 5:
1. s1 = snapshot()  # captures current state
2. act(s1.item_B)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_C)  # OK
6. act(s2.item_G)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_C)
3. mutate()
4. act(s1.item_E)","1. s1 = snapshot()
2. act(s1.item_C)
3. mutate()
4. s2 = snapshot()  # re-snapshot after mutation
5. act(s2.item_E)",single_mutation,mid,single_mutation_mid,2,"complexity=single_mutation, evidence=mid(5ex), seed=2, stale_step=4, len=4",4
6,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_C)  # OK
6. act(s2.item_G)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_D)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_B)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_E)  # OK
3. act(s1.item_F)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_G)  # OK
7. act(s2.item_C)  # OK

Worked Example 4:
1. s1 = snapshot()  # captures current state
2. act(s1.item_E)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_B)  # OK

Worked Example 5:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. act(s1.item_G)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_F)  # OK

Worked Example 6:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. act(s1.item_E)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_B)  # OK
7. act(s2.item_G)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_B)
3. act(s1.item_F)
4. mutate()
5. act(s1.item_C)","1. s1 = snapshot()
2. act(s1.item_B)
3. act(s1.item_F)
4. mutate()
5. s2 = snapshot()  # re-snapshot after mutation
6. act(s2.item_C)",single_mutation,many,single_mutation_many,0,"complexity=single_mutation, evidence=many(6ex), seed=0, stale_step=5, len=5",5
7,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_A)  # OK
6. act(s2.item_D)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. act(s1.item_E)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_G)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_B)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_D)  # OK

Worked Example 4:
1. s1 = snapshot()  # captures current state
2. act(s1.item_A)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_D)  # OK
6. act(s2.item_G)  # OK

Worked Example 5:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_G)  # OK
6. act(s2.item_B)  # OK

Worked Example 6:
1. s1 = snapshot()  # captures current state
2. act(s1.item_A)  # OK
3. act(s1.item_G)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_C)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_E)
3. act(s1.item_D)
4. mutate()
5. act(s1.item_B)","1. s1 = snapshot()
2. act(s1.item_E)
3. act(s1.item_D)
4. mutate()
5. s2 = snapshot()  # re-snapshot after mutation
6. act(s2.item_B)",single_mutation,many,single_mutation_many,1,"complexity=single_mutation, evidence=many(6ex), seed=1, stale_step=5, len=5",5
8,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_G)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_D)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_B)  # OK
3. act(s1.item_F)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_G)  # OK
7. act(s2.item_D)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_D)  # OK
3. act(s1.item_A)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_F)  # OK

Worked Example 4:
1. s1 = snapshot()  # captures current state
2. act(s1.item_A)  # OK
3. act(s1.item_G)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_E)  # OK
7. act(s2.item_B)  # OK

Worked Example 5:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. act(s1.item_E)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_B)  # OK

Worked Example 6:
1. s1 = snapshot()  # captures current state
2. act(s1.item_B)  # OK
3. mutate()  # invalidates all prior refs
4. s2 = snapshot()  # captures current state
5. act(s2.item_C)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_F)
3. mutate()
4. act(s1.item_D)","1. s1 = snapshot()
2. act(s1.item_F)
3. mutate()
4. s2 = snapshot()  # re-snapshot after mutation
5. act(s2.item_D)",single_mutation,many,single_mutation_many,2,"complexity=single_mutation, evidence=many(6ex), seed=2, stale_step=4, len=4",4
9,"World model: `snapshot()` captures the current world and returns a
ref token. `act(ref.item_X)` uses a ref to perform an action. A ref
becomes STALE once the world state it captured is mutated — any
further `act(ref.*)` with that stale ref FAILS. To recover, you must
re-snapshot to get a fresh ref before acting again.

Worked Example 1:
1. s1 = snapshot()  # captures current state
2. act(s1.item_C)  # OK
3. act(s1.item_G)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_D)  # OK
7. mutate()  # invalidates all prior refs
8. s3 = snapshot()  # captures current state
9. act(s3.item_B)  # OK

Worked Example 2:
1. s1 = snapshot()  # captures current state
2. act(s1.item_F)  # OK
3. act(s1.item_C)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_A)  # OK
7. mutate()  # invalidates all prior refs
8. s3 = snapshot()  # captures current state
9. act(s3.item_B)  # OK
10. mutate()  # invalidates all prior refs
11. s4 = snapshot()  # captures current state
12. act(s4.item_B)  # OK

Worked Example 3:
1. s1 = snapshot()  # captures current state
2. act(s1.item_E)  # OK
3. act(s1.item_C)  # OK
4. mutate()  # invalidates all prior refs
5. s2 = snapshot()  # captures current state
6. act(s2.item_D)  # OK
7. mutate()  # invalidates all prior refs
8. s3 = snapshot()  # captures current state
9. act(s3.item_G)  # OK","OPS:
1. s1 = snapshot()
2. act(s1.item_B)
3. mutate()
4. s2 = snapshot()
5. act(s2.item_E)
6. mutate()
7. act(s2.item_G)
8. mutate()
9. s3 = snapshot()
10. act(s3.item_F)","1. s1 = snapshot()
2. act(s1.item_B)
3. mutate()
4. s2 = snapshot()
5. act(s2.item_E)
6. mutate()
7. s3 = snapshot()  # re-snapshot after mutation
8. act(s3.item_G)
9. mutate()
10. s4 = snapshot()
11. act(s4.item_F)",multiple_mutations,few,multiple_mutations_few,0,"complexity=multiple_mutations, evidence=few(3ex), seed=0, stale_step=7, len=10",7
