task_id,seed,complexity,evidence,difficulty_label,material,test_input,expected,item_desc
0,0,simple,few,simple_few,"(7, 7, 1) -> (35, 35, 5)
(5, 9, 8) -> (25, 45, 40)
(7, 5, 8) -> (35, 25, 40)","(6, 4, 9)","(30, 20, 45)",multiply each by 5
1,1,simple,few,simple_few,"(5, 5, 3) -> (10, 10, 8)
(4, 3, 4) -> (9, 8, 9)
(3, 3, 2) -> (8, 8, 7)","(9, 4, 5)","(14, 9, 10)",add 5 to each
2,2,simple,few,simple_few,"(4, 4, 7) -> (7, 7, 10)
(9, 1, 3) -> (12, 4, 6)
(8, 1, 9) -> (11, 4, 12)","(3, 7, 4)","(6, 10, 7)",add 3 to each
3,0,simple,mid,simple_mid,"(3, 2, 5) -> (15, 10, 25)
(2, 8, 8) -> (10, 40, 40)
(8, 7, 4) -> (40, 35, 20)
(2, 8, 1) -> (10, 40, 5)
(7, 7, 1) -> (35, 35, 5)","(8, 5, 4)","(40, 25, 20)",multiply each by 5
4,1,simple,mid,simple_mid,"(2, 9, 4) -> (7, 14, 9)
(5, 5, 5) -> (10, 10, 10)
(2, 8, 5) -> (7, 13, 10)
(8, 7, 7) -> (13, 12, 12)
(2, 5, 4) -> (7, 10, 9)","(6, 6, 5)","(11, 11, 10)",add 5 to each
5,2,simple,mid,simple_mid,"(8, 5, 5) -> (11, 8, 8)
(4, 2, 2) -> (7, 5, 5)
(5, 9, 6) -> (8, 12, 9)
(5, 6, 7) -> (8, 9, 10)
(3, 4, 4) -> (6, 7, 7)","(8, 2, 2)","(11, 5, 5)",add 3 to each
6,0,simple,many,simple_many,"(1, 2, 2) -> (5, 10, 10)
(6, 3, 5) -> (30, 15, 25)
(5, 4, 1) -> (25, 20, 5)
(3, 7, 7) -> (15, 35, 35)
(9, 6, 9) -> (45, 30, 45)
(8, 9, 5) -> (40, 45, 25)
(1, 1, 6) -> (5, 5, 30)
(8, 6, 7) -> (40, 30, 35)","(7, 9, 3)","(35, 45, 15)",multiply each by 5
7,1,simple,many,simple_many,"(4, 1, 9) -> (9, 6, 14)
(1, 3, 4) -> (6, 8, 9)
(1, 1, 3) -> (6, 6, 8)
(6, 4, 2) -> (11, 9, 7)
(6, 8, 6) -> (11, 13, 11)
(5, 7, 5) -> (10, 12, 10)
(6, 4, 4) -> (11, 9, 9)
(6, 6, 4) -> (11, 11, 9)","(5, 9, 7)","(10, 14, 12)",add 5 to each
8,2,simple,many,simple_many,"(2, 3, 9) -> (5, 6, 12)
(3, 4, 3) -> (6, 7, 6)
(8, 7, 4) -> (11, 10, 7)
(4, 3, 7) -> (7, 6, 10)
(3, 3, 4) -> (6, 6, 7)
(4, 1, 7) -> (7, 4, 10)
(4, 2, 2) -> (7, 5, 5)
(7, 6, 3) -> (10, 9, 6)","(3, 9, 9)","(6, 12, 12)",add 3 to each
9,0,moderate,few,moderate_few,"(7, 7, 1) -> (11, 21, -3)
(5, 9, 8) -> (9, 27, 4)
(7, 5, 8) -> (11, 15, 4)","(6, 4, 9)","(10, 12, 5)","(+4, *3, -4)"
10,1,moderate,few,moderate_few,"(5, 5, 3) -> (7, 15, 1)
(4, 3, 4) -> (6, 9, 2)
(3, 3, 2) -> (5, 9, 0)","(9, 4, 5)","(11, 12, 3)","(+2, *3, -2)"
