task_id,seed,complexity,evidence,difficulty_label,material,test_input,expected,item_desc
0,0,simple,few,simple_few,"  flesoudglaush = ""purple""
  staidrospot = ""growing""
  skocloiswoum = ""crystal""
  woimhaix = ""yellow""",fleibloint,rope,simple 1:1 mapping
1,1,simple,few,simple_few,"  jouhip = ""orange""
  sudaush = ""yellow""
  swishpraglax = ""lantern""
  bloizis = ""rope""",peifruswoll,spinning,simple 1:1 mapping
2,2,simple,few,simple_few,"  swausat = ""rope""
  zobet = ""running""
  twufroswaung = ""blue""
  wrernbed = ""mirror""",grousleint,breaking,simple 1:1 mapping
3,0,simple,mid,simple_mid,"  moufox = ""blue""
  raiblaudouk = ""red""
  goupajil = ""hammer""
  zaitraubleimp = ""feather""
  kigesel = ""melting""
  brauffsneik = ""falling""
  blowoff = ""crystal""
  taunpais = ""rope""",twawedglaimp,candle,simple 1:1 mapping
4,1,simple,mid,simple_mid,"  rauskauk = ""melting""
  notaibskak = ""crystal""
  jeimjeirnsnaup = ""apple""
  trejaint = ""green""
  noishstuslaush = ""wheel""
  grislaugret = ""floating""
  deingnashflut = ""pebble""
  braibluplall = ""running""",lougloish,purple,simple 1:1 mapping
5,2,simple,mid,simple_mid,"  twoiblesim = ""blue""
  docreit = ""cloud""
  padreimp = ""breaking""
  bedoclint = ""lantern""
  prakglofeik = ""melting""
  kistauk = ""hammer""
  rewrauweis = ""anchor""
  spousaing = ""falling""",claurouk,candle,simple 1:1 mapping
6,0,simple,many,simple_many,"  toiraush = ""melting""
  saufounairn = ""breaking""
  claskoflem = ""basket""
  tiston = ""feather""
  saurnkaugoing = ""spinning""
  hoixplak = ""arrow""
  poshfrarn = ""silver""
  tistoshskimp = ""red""
  croitroix = ""apple""
  clagril = ""rope""
  glubrucluff = ""blue""
  spaiprointwrump = ""growing""",wrogoidas,purple,simple 1:1 mapping
7,1,simple,many,simple_many,"  bleibmeix = ""river""
  roipex = ""feather""
  swehout = ""cloud""
  snoivoil = ""arrow""
  dreprul = ""lantern""
  croplirn = ""running""
  bouvousoff = ""basket""
  gridroidlirn = ""purple""
  tapiteib = ""apple""
  deiseill = ""drum""
  blebplep = ""falling""
  skoslillgrint = ""green""",sluslanois,wheel,simple 1:1 mapping
8,2,simple,many,simple_many,"  hauswowroup = ""rope""
  glaixsleix = ""feather""
  rospouskex = ""golden""
  relblam = ""yellow""
  joigusfroirn = ""blue""
  swourun = ""breaking""
  frablis = ""apple""
  groukskaimout = ""growing""
  twintwril = ""river""
  globleseish = ""candle""
  foshnocrois = ""crystal""
  jaufaistaung = ""green""",poiflaunkash,mirror,simple 1:1 mapping
9,0,compound,few,compound_few,"  woutun = ""large yellow""
  kampreiwroung = ""small purple""
  sipswaut = ""tall blue""
  fredoufeish = ""enormous orange""",staidrospot,tiny silver,compound (size+color)
