task_id,seed,complexity,evidence,n_examples,difficulty_label,material,test_input,expected,item_desc
0,0,independent_errors,few,3,independent_errors_few,"Example 1:
BUILD OUTPUT:
src/store/reducer.ts:159:31 - error TS6133: 'fetchOrders' is declared but its value is never read.
FAIL test/orderapi.test.ts > OrderApi > persists across refresh
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. test:OrderApi:persists across refresh
  2. unused:fetchOrders
Count of distinct root causes: 2

Example 2:
BUILD OUTPUT:
src/utils/format.ts:125:35 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'OrderItem'.
src/lib/client.ts:168:10 - error TS2741: Property 'email' is missing in type but required in 'validateEmail'.
src/models/user.ts:138:25 - error TS18047: 'RequestHeaders' is possibly 'null'.
src/api/users.ts:45:38 - error TS6133: 'RequestHeaders' is declared but its value is never read.

Diagnosis:
Distinct root causes:
  1. null:RequestHeaders
  2. prop:validateEmail.email
  3. type:OrderItem
  4. unused:RequestHeaders
Count of distinct root causes: 4

Example 3:
BUILD OUTPUT:
test/auth.test.ts:157:25 - error TS18047: 'validateEmail' is possibly 'null'.
src/lib/client.ts:152:29 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'UserProfile'.

Diagnosis:
Distinct root causes:
  1. null:validateEmail
  2. type:UserProfile
Count of distinct root causes: 2","BUILD OUTPUT:
src/models/user.ts:131:14 - error TS18047: 'formatDate' is possibly 'null'.
src/lib/validator.ts:165:20 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'ResponsePayload'.

How many distinct root causes are there?",2,"independent_errors (few=3 examples, seed 0)"
1,1,independent_errors,few,3,independent_errors_few,"Example 1:
BUILD OUTPUT:
src/lib/validator.ts:106:20 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'OrderItem'.
src/pages/dashboard.tsx:127:10 - error TS2741: Property 'email' is missing in type but required in 'validateEmail'.

Diagnosis:
Distinct root causes:
  1. prop:validateEmail.email
  2. type:OrderItem
Count of distinct root causes: 2

Example 2:
BUILD OUTPUT:
src/pages/settings.tsx:79:8 - error TS6133: 'useSettings' is declared but its value is never read.
test/api.test.ts:94:34 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'ResponsePayload'.
FAIL test/dashboardpage.test.ts > DashboardPage > returns 200 on success
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. test:DashboardPage:returns 200 on success
  2. type:ResponsePayload
  3. unused:useSettings
Count of distinct root causes: 3

Example 3:
BUILD OUTPUT:
src/api/orders.ts:26:32 - error TS2304: Cannot find name 'logger'. Did you forget to import from '@/utils/logger'?
FAIL test/orderapi.test.ts > OrderApi > persists across refresh
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. import:@/utils/logger
  2. test:OrderApi:persists across refresh
Count of distinct root causes: 2","BUILD OUTPUT:
src/api/users.ts:35:27 - error TS18047: 'AuthContext' is possibly 'null'.
src/auth/session.ts:42:36 - error TS2304: Cannot find name 'date-fns'. Did you forget to import from 'date-fns'?
src/api/users.ts:135:39 - error TS2741: Property 'id' is missing in type but required in 'sessionToken'.

How many distinct root causes are there?",3,"independent_errors (few=3 examples, seed 1)"
2,2,independent_errors,few,3,independent_errors_few,"Example 1:
BUILD OUTPUT:
src/models/order.ts:62:4 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'UserProfile'.
src/hooks/useAuth.ts:81:35 - error TS2304: Cannot find name 'react-query'. Did you forget to import from 'react-query'?

Diagnosis:
Distinct root causes:
  1. import:react-query
  2. type:UserProfile
Count of distinct root causes: 2

Example 2:
BUILD OUTPUT:
src/utils/parse.ts:101:2 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'UserProfile'.
src/utils/format.ts:105:4 - error TS18047: 'UserProfile' is possibly 'null'.
src/utils/format.ts:129:5 - error TS2741: Property 'token' is missing in type but required in 'UserProfile'.
FAIL test/orderapi.test.ts > OrderApi > returns 200 on success
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. null:UserProfile
  2. prop:UserProfile.token
  3. test:OrderApi:returns 200 on success
  4. type:UserProfile
Count of distinct root causes: 4

Example 3:
BUILD OUTPUT:
test/api.test.ts:101:24 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'UserProfile'.
FAIL test/orderapi.test.ts > OrderApi > persists across refresh
  Expected: 200  Received: 500
src/api/orders.ts:168:9 - error TS6133: 'OrderItem' is declared but its value is never read.

Diagnosis:
Distinct root causes:
  1. test:OrderApi:persists across refresh
  2. type:UserProfile
  3. unused:OrderItem
Count of distinct root causes: 3","BUILD OUTPUT:
src/pages/settings.tsx:43:31 - error TS2304: Cannot find name 'lodash'. Did you forget to import from 'lodash'?
src/models/order.ts:145:15 - error TS6133: 'AuthContext' is declared but its value is never read.
src/utils/parse.ts:146:10 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'StoreState'.

How many distinct root causes are there?",3,"independent_errors (few=3 examples, seed 2)"
3,0,independent_errors,mid,4,independent_errors_mid,"Example 1:
BUILD OUTPUT:
test/auth.test.ts:44:6 - error TS18047: 'AuthContext' is possibly 'null'.
src/auth/session.ts:107:36 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'normalizeInput'.

Diagnosis:
Distinct root causes:
  1. null:AuthContext
  2. type:normalizeInput
Count of distinct root causes: 2

Example 2:
BUILD OUTPUT:
src/models/order.ts:32:17 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'sessionToken'.
src/auth/session.ts:169:17 - error TS2304: Cannot find name 'base'. Did you forget to import from '@/models/base'?
src/utils/format.ts:47:20 - error TS18047: 'ResponsePayload' is possibly 'null'.

Diagnosis:
Distinct root causes:
  1. import:@/models/base
  2. null:ResponsePayload
  3. type:sessionToken
Count of distinct root causes: 3

Example 3:
BUILD OUTPUT:
FAIL test/usermodel.test.ts > UserModel > handles empty list
  Expected: 200  Received: 500
src/utils/parse.ts:50:16 - error TS18047: 'formatDate' is possibly 'null'.
src/pages/dashboard.tsx:27:36 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'normalizeInput'.

Diagnosis:
Distinct root causes:
  1. null:formatDate
  2. test:UserModel:handles empty list
  3. type:normalizeInput
Count of distinct root causes: 3

Example 4:
BUILD OUTPUT:
src/lib/validator.ts:113:39 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'OrderItem'.
src/lib/validator.ts:120:11 - error TS18047: 'sessionToken' is possibly 'null'.
src/pages/settings.tsx:71:3 - error TS6133: 'sessionToken' is declared but its value is never read.

Diagnosis:
Distinct root causes:
  1. null:sessionToken
  2. type:OrderItem
  3. unused:sessionToken
Count of distinct root causes: 3","BUILD OUTPUT:
test/auth.test.ts:92:10 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'sessionToken'.
src/api/users.ts:110:13 - error TS2741: Property 'status' is missing in type but required in 'formatDate'.

How many distinct root causes are there?",2,"independent_errors (mid=4 examples, seed 0)"
4,1,independent_errors,mid,4,independent_errors_mid,"Example 1:
BUILD OUTPUT:
src/auth/login.ts:143:10 - error TS2741: Property 'token' is missing in type but required in 'fetchOrders'.
src/api/orders.ts:154:24 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'RequestHeaders'.
src/models/user.ts:67:17 - error TS18047: 'ResponsePayload' is possibly 'null'.
FAIL test/dashboardpage.test.ts > DashboardPage > handles empty list
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. null:ResponsePayload
  2. prop:fetchOrders.token
  3. test:DashboardPage:handles empty list
  4. type:RequestHeaders
Count of distinct root causes: 4

Example 2:
BUILD OUTPUT:
src/api/users.ts:66:18 - error TS2741: Property 'createdAt' is missing in type but required in 'AuthContext'.
src/pages/settings.tsx:84:17 - error TS18047: 'sessionToken' is possibly 'null'.
src/models/order.ts:120:24 - error TS6133: 'OrderItem' is declared but its value is never read.

Diagnosis:
Distinct root causes:
  1. null:sessionToken
  2. prop:AuthContext.createdAt
  3. unused:OrderItem
Count of distinct root causes: 3

Example 3:
BUILD OUTPUT:
src/pages/settings.tsx:51:39 - error TS2741: Property 'createdAt' is missing in type but required in 'AuthContext'.
FAIL test/orderapi.test.ts > OrderApi > persists across refresh
  Expected: 200  Received: 500
src/api/users.ts:54:34 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'ApiClient'.
src/api/orders.ts:52:34 - error TS2304: Cannot find name 'base'. Did you forget to import from '@/models/base'?

Diagnosis:
Distinct root causes:
  1. import:@/models/base
  2. prop:AuthContext.createdAt
  3. test:OrderApi:persists across refresh
  4. type:ApiClient
Count of distinct root causes: 4

Example 4:
BUILD OUTPUT:
src/api/users.ts:142:9 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'formatDate'.
src/models/order.ts:117:10 - error TS18047: 'OrderItem' is possibly 'null'.
src/lib/validator.ts:176:30 - error TS2741: Property 'status' is missing in type but required in 'ResponsePayload'.

Diagnosis:
Distinct root causes:
  1. null:OrderItem
  2. prop:ResponsePayload.status
  3. type:formatDate
Count of distinct root causes: 3","BUILD OUTPUT:
src/api/users.ts:137:29 - error TS18047: 'formatDate' is possibly 'null'.
FAIL test/dashboardpage.test.ts > DashboardPage > handles empty list
  Expected: 200  Received: 500

How many distinct root causes are there?",2,"independent_errors (mid=4 examples, seed 1)"
5,2,independent_errors,mid,4,independent_errors_mid,"Example 1:
BUILD OUTPUT:
src/models/order.ts:27:26 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'OrderItem'.
src/pages/dashboard.tsx:133:4 - error TS18047: 'OrderItem' is possibly 'null'.

Diagnosis:
Distinct root causes:
  1. null:OrderItem
  2. type:OrderItem
Count of distinct root causes: 2

Example 2:
BUILD OUTPUT:
src/models/order.ts:53:36 - error TS2304: Cannot find name 'lodash'. Did you forget to import from 'lodash'?
src/pages/settings.tsx:35:37 - error TS18047: 'UserProfile' is possibly 'null'.
src/api/users.ts:135:11 - error TS2741: Property 'id' is missing in type but required in 'sessionToken'.

Diagnosis:
Distinct root causes:
  1. import:lodash
  2. null:UserProfile
  3. prop:sessionToken.id
Count of distinct root causes: 3

Example 3:
BUILD OUTPUT:
src/lib/client.ts:141:39 - error TS2741: Property 'id' is missing in type but required in 'validateEmail'.
src/api/users.ts:77:9 - error TS18047: 'OrderItem' is possibly 'null'.
src/api/orders.ts:31:26 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'fetchOrders'.
FAIL test/dashboardpage.test.ts > DashboardPage > handles empty list
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. null:OrderItem
  2. prop:validateEmail.id
  3. test:DashboardPage:handles empty list
  4. type:fetchOrders
Count of distinct root causes: 4

Example 4:
BUILD OUTPUT:
FAIL test/usermodel.test.ts > UserModel > handles empty list
  Expected: 200  Received: 500
src/utils/format.ts:160:17 - error TS6133: 'parseAmount' is declared but its value is never read.

Diagnosis:
Distinct root causes:
  1. test:UserModel:handles empty list
  2. unused:parseAmount
Count of distinct root causes: 2","BUILD OUTPUT:
FAIL test/authflow.test.ts > AuthFlow > returns 200 on success
  Expected: 200  Received: 500
test/api.test.ts:49:26 - error TS2741: Property 'email' is missing in type but required in 'validateEmail'.

How many distinct root causes are there?",2,"independent_errors (mid=4 examples, seed 2)"
6,0,independent_errors,many,5,independent_errors_many,"Example 1:
BUILD OUTPUT:
src/auth/login.ts:45:8 - error TS18047: 'parseAmount' is possibly 'null'.
FAIL test/validatorutil.test.ts > ValidatorUtil > rejects invalid input
  Expected: 200  Received: 500
src/utils/parse.ts:102:35 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'normalizeInput'.
src/utils/parse.ts:8:14 - error TS2304: Cannot find name 'lodash'. Did you forget to import from 'lodash'?

Diagnosis:
Distinct root causes:
  1. import:lodash
  2. null:parseAmount
  3. test:ValidatorUtil:rejects invalid input
  4. type:normalizeInput
Count of distinct root causes: 4

Example 2:
BUILD OUTPUT:
src/api/users.ts:40:40 - error TS18047: 'parseAmount' is possibly 'null'.
src/models/user.ts:38:1 - error TS2304: Cannot find name 'actions'. Did you forget to import from '@/store/actions'?
src/utils/format.ts:60:11 - error TS2741: Property 'status' is missing in type but required in 'ResponsePayload'.

Diagnosis:
Distinct root causes:
  1. import:@/store/actions
  2. null:parseAmount
  3. prop:ResponsePayload.status
Count of distinct root causes: 3

Example 3:
BUILD OUTPUT:
src/utils/format.ts:51:13 - error TS18047: 'parseAmount' is possibly 'null'.
FAIL test/dashboardpage.test.ts > DashboardPage > handles empty list
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. null:parseAmount
  2. test:DashboardPage:handles empty list
Count of distinct root causes: 2

Example 4:
BUILD OUTPUT:
src/models/user.ts:72:5 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'OrderItem'.
src/pages/settings.tsx:159:38 - error TS18047: 'sessionToken' is possibly 'null'.
src/hooks/useAuth.ts:21:20 - error TS2741: Property 'status' is missing in type but required in 'ResponsePayload'.

Diagnosis:
Distinct root causes:
  1. null:sessionToken
  2. prop:ResponsePayload.status
  3. type:OrderItem
Count of distinct root causes: 3

Example 5:
BUILD OUTPUT:
test/auth.test.ts:125:12 - error TS18047: 'parseAmount' is possibly 'null'.
src/pages/dashboard.tsx:10:23 - error TS2741: Property 'createdAt' is missing in type but required in 'sessionToken'.
FAIL test/authflow.test.ts > AuthFlow > rejects invalid input
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. null:parseAmount
  2. prop:sessionToken.createdAt
  3. test:AuthFlow:rejects invalid input
Count of distinct root causes: 3","BUILD OUTPUT:
src/lib/client.ts:153:1 - error TS6133: 'StoreState' is declared but its value is never read.
src/auth/login.ts:51:40 - error TS2741: Property 'email' is missing in type but required in 'validateEmail'.

How many distinct root causes are there?",2,"independent_errors (many=5 examples, seed 0)"
7,1,independent_errors,many,5,independent_errors_many,"Example 1:
BUILD OUTPUT:
FAIL test/validatorutil.test.ts > ValidatorUtil > persists across refresh
  Expected: 200  Received: 500
src/auth/login.ts:97:33 - error TS2741: Property 'token' is missing in type but required in 'parseAmount'.
src/hooks/useAuth.ts:27:10 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'fetchOrders'.
src/models/user.ts:24:36 - error TS2304: Cannot find name 'base'. Did you forget to import from '@/models/base'?

Diagnosis:
Distinct root causes:
  1. import:@/models/base
  2. prop:parseAmount.token
  3. test:ValidatorUtil:persists across refresh
  4. type:fetchOrders
Count of distinct root causes: 4

Example 2:
BUILD OUTPUT:
FAIL test/orderapi.test.ts > OrderApi > rejects invalid input
  Expected: 200  Received: 500
src/api/users.ts:38:28 - error TS2741: Property 'email' is missing in type but required in 'validateEmail'.
src/models/user.ts:157:4 - error TS18047: 'normalizeInput' is possibly 'null'.

Diagnosis:
Distinct root causes:
  1. null:normalizeInput
  2. prop:validateEmail.email
  3. test:OrderApi:rejects invalid input
Count of distinct root causes: 3

Example 3:
BUILD OUTPUT:
src/utils/parse.ts:124:29 - error TS6133: 'fetchOrders' is declared but its value is never read.
src/models/user.ts:120:35 - error TS2741: Property 'token' is missing in type but required in 'parseAmount'.
src/pages/settings.tsx:131:14 - error TS2304: Cannot find name 'logger'. Did you forget to import from '@/utils/logger'?
src/store/reducer.ts:111:13 - error TS18047: 'StoreState' is possibly 'null'.

Diagnosis:
Distinct root causes:
  1. import:@/utils/logger
  2. null:StoreState
  3. prop:parseAmount.token
  4. unused:fetchOrders
Count of distinct root causes: 4

Example 4:
BUILD OUTPUT:
src/lib/validator.ts:112:39 - error TS2304: Cannot find name 'react-query'. Did you forget to import from 'react-query'?
src/models/order.ts:180:17 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'RequestHeaders'.
src/auth/session.ts:20:1 - error TS6133: 'parseAmount' is declared but its value is never read.

Diagnosis:
Distinct root causes:
  1. import:react-query
  2. type:RequestHeaders
  3. unused:parseAmount
Count of distinct root causes: 3

Example 5:
BUILD OUTPUT:
src/pages/dashboard.tsx:179:33 - error TS18047: 'validateEmail' is possibly 'null'.
src/lib/client.ts:50:2 - error TS2304: Cannot find name 'base'. Did you forget to import from '@/models/base'?
src/auth/session.ts:156:5 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'normalizeInput'.

Diagnosis:
Distinct root causes:
  1. import:@/models/base
  2. null:validateEmail
  3. type:normalizeInput
Count of distinct root causes: 3","BUILD OUTPUT:
src/api/orders.ts:9:39 - error TS18047: 'validateEmail' is possibly 'null'.
src/store/reducer.ts:41:31 - error TS2741: Property 'token' is missing in type but required in 'parseAmount'.
FAIL test/dashboardpage.test.ts > DashboardPage > returns 200 on success
  Expected: 200  Received: 500

How many distinct root causes are there?",3,"independent_errors (many=5 examples, seed 1)"
8,2,independent_errors,many,5,independent_errors_many,"Example 1:
BUILD OUTPUT:
src/utils/format.ts:140:37 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'sessionToken'.
src/pages/dashboard.tsx:129:13 - error TS6133: 'parseAmount' is declared but its value is never read.
src/pages/dashboard.tsx:47:7 - error TS18047: 'RequestHeaders' is possibly 'null'.
src/api/users.ts:122:1 - error TS2304: Cannot find name 'lodash'. Did you forget to import from 'lodash'?

Diagnosis:
Distinct root causes:
  1. import:lodash
  2. null:RequestHeaders
  3. type:sessionToken
  4. unused:parseAmount
Count of distinct root causes: 4

Example 2:
BUILD OUTPUT:
src/lib/client.ts:84:35 - error TS6133: 'useSettings' is declared but its value is never read.
src/auth/session.ts:179:33 - error TS2304: Cannot find name 'base'. Did you forget to import from '@/models/base'?

Diagnosis:
Distinct root causes:
  1. import:@/models/base
  2. unused:useSettings
Count of distinct root causes: 2

Example 3:
BUILD OUTPUT:
src/models/user.ts:178:20 - error TS2304: Cannot find name 'lodash'. Did you forget to import from 'lodash'?
FAIL test/validatorutil.test.ts > ValidatorUtil > rejects invalid input
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. import:lodash
  2. test:ValidatorUtil:rejects invalid input
Count of distinct root causes: 2

Example 4:
BUILD OUTPUT:
test/auth.test.ts:63:34 - error TS2304: Cannot find name 'react-query'. Did you forget to import from 'react-query'?
FAIL test/validatorutil.test.ts > ValidatorUtil > rejects invalid input
  Expected: 200  Received: 500
test/auth.test.ts:81:25 - error TS6133: 'parseAmount' is declared but its value is never read.
src/auth/session.ts:38:38 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'validateEmail'.

Diagnosis:
Distinct root causes:
  1. import:react-query
  2. test:ValidatorUtil:rejects invalid input
  3. type:validateEmail
  4. unused:parseAmount
Count of distinct root causes: 4

Example 5:
BUILD OUTPUT:
src/auth/login.ts:56:16 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'OrderItem'.
src/hooks/useAuth.ts:18:22 - error TS2741: Property 'email' is missing in type but required in 'validateEmail'.
src/store/reducer.ts:158:22 - error TS18047: 'UserProfile' is possibly 'null'.
src/hooks/useAuth.ts:30:35 - error TS2304: Cannot find name 'react-query'. Did you forget to import from 'react-query'?

Diagnosis:
Distinct root causes:
  1. import:react-query
  2. null:UserProfile
  3. prop:validateEmail.email
  4. type:OrderItem
Count of distinct root causes: 4","BUILD OUTPUT:
src/models/order.ts:115:39 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'formatDate'.
src/pages/dashboard.tsx:136:37 - error TS18047: 'formatDate' is possibly 'null'.

How many distinct root causes are there?",2,"independent_errors (many=5 examples, seed 2)"
9,0,chained_errors,few,3,chained_errors_few,"Example 1:
BUILD OUTPUT:
src/utils/format.ts:24:39 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'UserProfile'.
src/api/orders.ts:172:25 - error TS18047: 'AuthContext' is possibly 'null'.
FAIL test/usermodel.test.ts > UserModel > persists across refresh
  Expected: 200  Received: 500
test/api.test.ts:91:8 - error TS2741: Property 'id' is missing in type but required in 'AuthContext'.

Diagnosis:
Distinct root causes:
  1. null:AuthContext
  2. prop:AuthContext.id
  3. test:UserModel:persists across refresh
  4. type:UserProfile
Count of distinct root causes: 4

Example 2:
BUILD OUTPUT:
src/models/user.ts:61:38 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'sessionToken'.
src/auth/session.ts:16:15 - error TS18047: 'fetchOrders' is possibly 'null'.
FAIL test/authflow.test.ts > AuthFlow > persists across refresh
  Expected: 200  Received: 500

Diagnosis:
Distinct root causes:
  1. null:fetchOrders
  2. test:AuthFlow:persists across refresh
  3. type:sessionToken
Count of distinct root causes: 3

Example 3:
BUILD OUTPUT:
src/pages/settings.tsx:51:27 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'parseAmount'.
src/lib/validator.ts:63:37 - error TS18047: 'ApiClient' is possibly 'null'.

Diagnosis:
Distinct root causes:
  1. null:ApiClient
  2. type:parseAmount
Count of distinct root causes: 2","BUILD OUTPUT:
src/api/users.ts:99:13 - error TS2345: Argument of type 'string' is not assignable to parameter of type 'useSettings'.
src/utils/format.ts:163:33 - error TS18047: 'ResponsePayload' is possibly 'null'.
FAIL test/authflow.test.ts > AuthFlow > returns 200 on success
  Expected: 200  Received: 500
test/auth.test.ts:69:19 - error TS2741: Property 'token' is missing in type but required in 'ResponsePayload'.

How many distinct root causes are there?",4,"chained_errors (few=3 examples, seed 0)"
