task_id,seed,complexity,evidence,difficulty_label,material,test_input,expected,item_desc
0,0,direct_lookup,few,direct_lookup_few,"  ERROR: E3002: operation failed during credential load.
  FIX:   zkl auth rotate --keyring
  ERROR: error E1007 raised by registry handshake.
  FIX:   zkl registry refresh --scope user
  ERROR: error E3008 raised by session bootstrap.
  FIX:   zkl auth rotate --token
  ERROR: [E2040] snapshot write did not complete.
  FIX:   zkl fs repair --manifest
  ERROR: E2003: operation failed during snapshot write.
  FIX:   zkl cache purge --deep",error E2003 raised by workspace open.,zkl cache purge --deep,direct_lookup: exact code -> exact remediation
1,1,direct_lookup,few,direct_lookup_few,"  ERROR: error E2040 raised by snapshot write.
  FIX:   zkl fs repair --manifest
  ERROR: error E3008 raised by credential load.
  FIX:   zkl auth rotate --token
  ERROR: error E2024 raised by layer extraction.
  FIX:   zkl fs repair --index
  ERROR: [E3015] credential load did not complete.
  FIX:   zkl auth login --provider sso
  ERROR: [E1022] registry handshake did not complete.
  FIX:   zkl net retry --backoff 30s",E1022 reported while handling registry handshake.,zkl net retry --backoff 30s,direct_lookup: exact code -> exact remediation
2,2,direct_lookup,few,direct_lookup_few,"  ERROR: [E2040] layer extraction did not complete.
  FIX:   zkl fs repair --manifest
  ERROR: error E2018 raised by object commit.
  FIX:   zkl fs relink --force
  ERROR: E1007 reported while handling package sync.
  FIX:   zkl registry refresh --scope user
  ERROR: E2011 reported while handling object commit.
  FIX:   zkl cache purge --shallow
  ERROR: error E2024 raised by workspace open.
  FIX:   zkl fs repair --index",E2018 reported while handling layer extraction.,zkl fs relink --force,direct_lookup: exact code -> exact remediation
3,0,direct_lookup,mid,direct_lookup_mid,"  ERROR: E1022 reported while handling package sync.
  FIX:   zkl net retry --backoff 30s
  ERROR: error E1001 raised by dependency fetch.
  FIX:   zkl registry refresh --scope global
  ERROR: E3019: operation failed during credential load.
  FIX:   zkl auth trust --renew
  ERROR: E3002: operation failed during grant verify.
  FIX:   zkl auth rotate --keyring
  ERROR: E2011: operation failed during snapshot write.
  FIX:   zkl cache purge --shallow
  ERROR: E3027 reported while handling session bootstrap.
  FIX:   zkl auth login --provider oauth
  ERROR: E2003: operation failed during workspace open.
  FIX:   zkl cache purge --deep",E2003 reported while handling layer extraction.,zkl cache purge --deep,direct_lookup: exact code -> exact remediation
4,1,direct_lookup,mid,direct_lookup_mid,"  ERROR: [E1014] index download did not complete.
  FIX:   zkl net retry --backoff 5s
  ERROR: error E1007 raised by dependency fetch.
  FIX:   zkl registry refresh --scope user
  ERROR: E3002 reported while handling identity attach.
  FIX:   zkl auth rotate --keyring
  ERROR: error E3008 raised by session bootstrap.
  FIX:   zkl auth rotate --token
  ERROR: [E2011] layer extraction did not complete.
  FIX:   zkl cache purge --shallow
  ERROR: E1031 reported while handling registry handshake.
  FIX:   zkl proxy reset
  ERROR: E3027 reported while handling session bootstrap.
  FIX:   zkl auth login --provider oauth",E1014: operation failed during registry handshake.,zkl net retry --backoff 5s,direct_lookup: exact code -> exact remediation
5,2,direct_lookup,mid,direct_lookup_mid,"  ERROR: error E3019 raised by session bootstrap.
  FIX:   zkl auth trust --renew
  ERROR: E3002 reported while handling credential load.
  FIX:   zkl auth rotate --keyring
  ERROR: [E3027] session bootstrap did not complete.
  FIX:   zkl auth login --provider oauth
  ERROR: [E2024] layer extraction did not complete.
  FIX:   zkl fs repair --index
  ERROR: [E1014] index download did not complete.
  FIX:   zkl net retry --backoff 5s
  ERROR: E2040: operation failed during object commit.
  FIX:   zkl fs repair --manifest
  ERROR: [E1022] package sync did not complete.
  FIX:   zkl net retry --backoff 30s",E1014 reported while handling package sync.,zkl net retry --backoff 5s,direct_lookup: exact code -> exact remediation
6,0,direct_lookup,many,direct_lookup_many,"  ERROR: error E3015 raised by session bootstrap.
  FIX:   zkl auth login --provider sso
  ERROR: E2040 reported while handling object commit.
  FIX:   zkl fs repair --manifest
  ERROR: E1022 reported while handling index download.
  FIX:   zkl net retry --backoff 30s
  ERROR: [E2003] snapshot write did not complete.
  FIX:   zkl cache purge --deep
  ERROR: E2011: operation failed during snapshot write.
  FIX:   zkl cache purge --shallow
  ERROR: error E3002 raised by grant verify.
  FIX:   zkl auth rotate --keyring
  ERROR: [E1014] package sync did not complete.
  FIX:   zkl net retry --backoff 5s
  ERROR: E2018 reported while handling object commit.
  FIX:   zkl fs relink --force
  ERROR: [E2024] layer extraction did not complete.
  FIX:   zkl fs repair --index
  ERROR: [E1031] registry handshake did not complete.
  FIX:   zkl proxy reset",[E2024] snapshot write did not complete.,zkl fs repair --index,direct_lookup: exact code -> exact remediation
7,1,direct_lookup,many,direct_lookup_many,"  ERROR: E2011: operation failed during layer extraction.
  FIX:   zkl cache purge --shallow
  ERROR: E1001 reported while handling registry handshake.
  FIX:   zkl registry refresh --scope global
  ERROR: E3019 reported while handling identity attach.
  FIX:   zkl auth trust --renew
  ERROR: E3015: operation failed during grant verify.
  FIX:   zkl auth login --provider sso
  ERROR: [E1022] registry handshake did not complete.
  FIX:   zkl net retry --backoff 30s
  ERROR: E1007 reported while handling dependency fetch.
  FIX:   zkl registry refresh --scope user
  ERROR: [E3008] credential load did not complete.
  FIX:   zkl auth rotate --token
  ERROR: E1031 reported while handling dependency fetch.
  FIX:   zkl proxy reset
  ERROR: E2024 reported while handling layer extraction.
  FIX:   zkl fs repair --index
  ERROR: E2018: operation failed during workspace open.
  FIX:   zkl fs relink --force",E2024 reported while handling object commit.,zkl fs repair --index,direct_lookup: exact code -> exact remediation
8,2,direct_lookup,many,direct_lookup_many,"  ERROR: E3027 reported while handling grant verify.
  FIX:   zkl auth login --provider oauth
  ERROR: E2003 reported while handling object commit.
  FIX:   zkl cache purge --deep
  ERROR: [E2024] workspace open did not complete.
  FIX:   zkl fs repair --index
  ERROR: E1001 reported while handling index download.
  FIX:   zkl registry refresh --scope global
  ERROR: E2040: operation failed during snapshot write.
  FIX:   zkl fs repair --manifest
  ERROR: E1022: operation failed during registry handshake.
  FIX:   zkl net retry --backoff 30s
  ERROR: [E1007] dependency fetch did not complete.
  FIX:   zkl registry refresh --scope user
  ERROR: [E1031] dependency fetch did not complete.
  FIX:   zkl proxy reset
  ERROR: error E3008 raised by grant verify.
  FIX:   zkl auth rotate --token
  ERROR: [E1014] registry handshake did not complete.
  FIX:   zkl net retry --backoff 5s",error E2024 raised by object commit.,zkl fs repair --index,direct_lookup: exact code -> exact remediation
9,0,pattern_match,few,pattern_match_few,"  ERROR: E1123 raised by upstream reconciler on ""onyx-gate"".
  FIX:   zkl refresh registry
  ERROR: [E2808] inode subsystem reports invalid state at ""halo-index"".
  FIX:   zkl purge index
  ERROR: E2657: manifest check failed for target ""redline-sdk"".
  FIX:   zkl purge manifest
  ERROR: error E3358 while validating session for ""redline-sdk"".
  FIX:   zkl rotate session
  ERROR: [E1833] cert subsystem reports invalid state at ""onyx-gate"".
  FIX:   zkl refresh ca-bundle","E1101: upstream check failed for target ""glacier-net"".",zkl refresh registry,pattern_match: family prefix + keyword -> verb+noun remediation
